review,sentiment
this_has_to_be_the_worst_movie_i_have_seen._madsen_fans_don't_be_drawn_into_this_like_i_was._he_is_only_in_it_for_a_maximum_of_five_minutes._this_movie_is_so_bad_that_the_only_reason_why_you_would_watch_it_is_if_all_the_rest_of_the_movies_on_earth_as_well_as_t.v._had_been_destroyed .,0
"i_had_very_low_expectations_for_this_alleged_ '' re-imagining '' _of_the_original_ -- _and_they_weren't_even_met ! _what_were_they_thinking ? _ ( answer : _they_were n't . ) _please_don't_waste_your_time_on_this_hollywood_trash_fest._clip_your_nails , _balance_your_checkbook , _do_anything_besides_watch_this._remember : _if_you_rent_stuff_like_this , _it_will_only_ensure_they_make_more .",0
"a_ridiculous , _badly_acted_mini_cooper_infomercial._includes_cameos_from_pepsi , _dell , _etc._ < br_/ > < br_/ > absolutely_nothing_worth_rescuing_here._particularly_bad_are_donald_sutherland , _the_music_score , _scene_transitions , _etc._an_embarrassing_production. < br_/ > < br_/ > hey , _they_should_pay_you_for_watching_this_one .",0
"i_don't_know_what_the_last_reviewer_is_talking_about_but_this_show_is_pure_entertainment._basically_2_dudes_are_put_in_competitions_at_a_club_to_pick_up_girls_in_3_different_scenarios._they_mix_up_the_scenarios_for_each_show_so_it_is_not_the_same_every_time._the_panel_of_4_judges_is_not_afraid_to_call_people_out_or_admit_it_when_they_recognize_game._they_will_break_down_what_the_guy_did_wrong , _and_what_they_guy_did_right._some_contestants_are_weak , _some_are_strong_but_what_happens_is_always_entertaining._if_you_are_a_guy_that_goes_out , _you_can_relate._i've_seen_weak_game , _i've_seen_strong_game , _and_this_show_is_for_real._no_doubt .",1
"this_movie_is_not_realistic_at_all , _more_of_a_comedy_than_a_serious_war_film._very_old-fashioned_too._maybe_i_was_just_expecting_it_to_be_on_a_same_level_with_ '' platoon '' ._i_wonder , _why_50 % _of_the_voters_gave_it_10 ? _something_must_be_wrong .",0
"what_are_the_movies ? _i_mean .. _what_are_movies_made_for ? _shootings ? _killings ? _no._they_are_made_for_life_stories_and_this_is_what_this_movie_does._it_presents_how_the_life_has_changed_between_two_ages._the_father_and_a_son , _the_father_being_in_a_need_of_a_job_and_asking_the_son_for_help. < br_/ > < br_/ > although_there_is_another_generation , _there_are_some_characteristics_which_remain_including_the_caress_for_the_family. < br_/ > < br_/ > the_main_subject_is , _in_my_opinion_the_love_of_the_son_to_the_father_and_vice-versa. < br_/ > < br_/ > the_movie_is_consisted_of_only_one_dialog_but_that_dialog_is_more_than_i_could_ever_wanted._this_movie_is_a_pure_art ! _once_again , _after_ '' marfa_si_banii '' , _cristi_puiu_delivers_us_another_beautiful_movie._well_done_ !",1
"the_pilot_of_enterprise_has_one_thing_that_has_been_lacking_since_the_original_star_trek : _a_dose_of_realistic , _flawed_personalities._the_utopian_characters_of_the_next_generation_got_tiring , _they_were_so_noble_as_to_be_unbelievable._i_also_like_the_sub-plot_that_humans_are_bitter_toward_the_vulcans._its_funny_seeing_them_as_pretentious_snobs._it_makes_me_look_forward_to_seeing_when_the_humans_become_the_dominant_race_between_the_two , _though_i_don't_think_it_would_work_in_the_time_frame_of_the_show._the_only_negatives_that_jumped_out_at_me_were_the_ '' quick_cut_off_the_ending_at_2_hours '' _feel_of_the_end , _which_is_common_among_many_of_the_trek_shows._the_second_was_the_shameless_dig_for_ratings_by_a_couple_of_senselessly_sexy_scenes._it_was_out_of_place , _a_good_science_fiction_show_should_be_able_to_stand_on_its_own_without_trying_to_pad_the_pre-teen_audience_with_some_skin._but_its_not_my_job_to_make_the_show_profitable , _so_oh_well. < br_/ > < br_/ > lets_see_how_the_next_episode_does .",1
"la_maman_et_la_putain_has_to_be_watched_as_a_movie_that_is_both_related_to_the_time_it_was_released_ ( post- ) _and_eternal_in_many_respects._true , _the_actors_don't_ '' act '' _ ... _true , _they_talk_a_lot ... _but_what_they_talk_about_is_just_what_makes_life_worth_living ... _or_dying._the_very_long_monologue_spoken_by_françoise_lebrun_is_perhaps_the_most_accurate_and_moving_text_that_was_ever_written_about_womanhood , _manhood_and_love._not_easy_to_translate_accurately , _though._this_movie_is_a_statement_about_the_difficulty_of_being_a_man_and_a_woman_ ( or_two_women_in_this_case ) ._and_imho , _jean_pierre_léaud_is_one_of_the_greatest_french_actors .",1
"i_wish_they_would_just_make_a_special_section_in_the_video_rental_stores_for_movies_like_this._the_section_would_read : _ '' movies_for_lonely_older_men_who_like_to_watch_young_girls_being_naughty_and_wearing_fetish_clothes '' _i_guess_dominique_swain , _after_lolita_nd_now_this , _is_establishing_herself_as_the_queen_of_the_dirty_old_man_genre .",0
"even_with_all_the_cinema_dealing_with_the_trauma_of_the_vietnam_war_ ( jacob's_ladder , _the_deer_hunter , _apocalypse_now , _and_taxi_driver_to_an_extent ) _one_feels_that_we_don't_even_know_the_half_of_what_happened._even_contemplating_the_horror_feels_inhuman._and_a_progression_-_or_retreat ? _-_to_the_inhumanity_that_it_necessitates_is_a_key_part_of_apocalypse_now , _coppola's_greatest_and_one_of_the_most_important_films_ever_made._loosely_based_on_joseph_conrad's_1902_classic , _ '' heart_of_darkness '' _which_chronicles_the_loss_of_sanity_and_corruption_of_morality_that_comes_with_distance_from_civilization_-_a_surfacing_of_a_bestial_nature , _as_it_were , _a_la_lord_of_the_flies_-_it_brings_the_story_of_a_physical_and_psychological_journey_to_vietnam._the_story_is_of_willard , _a_general_commissioned_on_a_special_mission_to_cambodia_after_his_first_tour_of_duty_in_vietnam_is_served._willard_at_the_beginning_of_the_film_is_stuck_in_saigon , _psychologically_unable_to_go_back_home_-_eerily_echoing_nicky_in_the_deer_hunter._so_he_is_contacted : _his_mission_is_to_assassinate_a_renegade_green_beret_who_has_isolated_himself_in_a_remote_outpost_on_the_nung_river , _and_who_has_purportedly_gone_completely_insane_-_worshiped_like_a_god_by_the_natives , _and_killing_indiscriminately._this_man's_name_is_colonel_kurtz , _played_by_marlon_brando_in_the_second_best_role_of_his_career_ ( the_best_being_stanley_kowalski_in_a_streetcar_named_desire ) ._as_willard_journeys_upriver_in_an_army_boat_with_some_soldiers_accompanying , _his_witnessing_the_horrors_and_the_insanity_-_and_the_overwhelming_pointlessness_of_it_all_-_leads_to_an_eerie_sympathy_and_identification_with_kurtz_before_they_even_meet._by_the_time_they_do , _kurtz's_methods_don't_really_seem_as_wrong_or_as_they_should , _and_they_certainly_don't_seem_too_unusual_or_out-of-place._apocalypse_-_a_place_beyond_morality , _the_outpost_on_the_end_of_the_world._the_loss_of_civilization , _the_loss_of_judgement , _of_self._kurtz's_monologue_about_an_atrocity_he_witnessed_as_a_green_beret , _and_his_later_revelation , _is_one_of_the_most_chilling_and_well-delivered_speeches_in_cinema_history._the_film_is_about_trauma , _about_the_human_spirit_and_its_breaking_point_-_here , _it's_a_lot_like_the_deer_hunter , _and_just_as_good._apocalypse , _however , _takes_the_boundaries_of_what_we_can_endure_to_a_global_level_-_coppola's_sweeping_footage_of_the_humid , _murky_jungles_of_cambodia_and_an_opening_sequence_of_helicopters_amid_exploding_forests_and_an_orange_sky_-_set_to_an_oddly_fitting_doors_soundtrack_-_as_well_as_chilling_scenes_on_the_river_and_of_an_air_raid_on_a_village_with_wagner_blasting_from_speakers_ ( a_scene_which_has_gone_down_as_one_of_the_most_chilling , _darkly_humorous , _and_strikingly_pointless_war_scenes_ever ) _-_this_all_contributes_to_the_sense_of_apocalypse_-_the_end_of_the_world_-_and_not_at_some_distant_point_in_the_future , _but_apocalypse_now_and_forever._the_deer_hunter_is_much_more_up_close_and_personal , _you_can_even_tell_by_the_title , _and_shows_the_totalling_effect_trauma_has_on_the_individual_psyche , _the_breaking_down_of_the_human_soul , _and_its_ability_to_either_surrender_completely_to_forces_of_darkness , _or_to_limp_on._this_is_why_both_films_are_equal_-_they_are_two_parts_of_the_same_thing._in_ '' heart_of_darkness '' , _kurtz_is_shown_as_conflicted_between_morality_ ( civilization ) _and_his_inner_savage._in_apocalypse_now , _kurtz_has_left_all_conflict_behind._he_is_beyond_good_and_evil._he_has_let_go_of_morality_like_a_drowning_man_lets_go_of_a_saving_hand_in_the_moments_before_his_death._kurtz_indeed_is_only_waiting_for_death , _quoting_t._s._eliot_in_his_temple_to_himself , _lost_in_the_jungle._his_last_words , _and_the_words_echoed_at_the_end_of_the_movie , _are , _ '' the_horror ... the_horror . `` _he_is_referring_to_the_infinite_void_of_existence , _of_the_human_psyche , _and_to_the_pitch_black_emptiness_within_his_own_mind , _where_atrocities_are_born_again._it_is_impossible_to_express_in_words_the_experience_one_goes_through_watching_this_film_-_the_experience , _in_short , _that_willard_experiences_on_his_journey._the_end_part , _at_the_outpost , _almost_in_fact_comparable_to_its_brother_scene_in_the_deer_hunter , _is_one_of_the_most_deeply , _calmly , _and_seductively_disturbing_things_i've_ever_seen .",1
"this_movie_is_about_as_underrated_as_police_acadmey_mission_to_moscow._this_movie_is_never_funny._it's_maybe_the_worst_comedy_spoof_ever_made._very_boring , and_dumb_beyond_belief._for_those_people_that_think_this_movie_is_underrated_god_help_you._i_give_this_movie_ * _out_of_ * * * * < br_/ > < br_/ >",0
"i_didn't_at_all_think_of_it_this_way , _but_my_friend_said_the_first_thing_he_thought_when_he_heard_the_title_ '' midnight_cowboy '' _was_a_gay_porno._at_that_point , _all_i_had_known_of_it_was_the_reference_made_to_it_in_that_ '' seinfeld '' _episode_with_jerry_trying_to_get_kramer_to_florida_on_that_bus_and_kramer's_all_sick_and_with_a_nosebleed. < br_/ > < br_/ > the_movie_was_great , _and_surprisingly_upbeat_and_not_all_pissy_pretentious_pessimistic_like_some_movies_i_can't_even_remember_because_they're_all_crap. < br_/ > < br_/ > the_plot_basically_consisted_of_a_naive_young_cowboy_joe_buck_going_to_new_york_trying_to_be_a_hustler_ ( a_male_prostitute , _basically ) , _thinking_it'll_be_easy_pickings , _only_to_hit_the_brick_wall_hard_when_a_woman_ends_up_hustling_him , _charging_him_for_their_sexual_encounter. < br_/ > < br_/ > then_he_meets_enrico_salvatore_rizzo , _called_ '' ratso '' _by_everyone_and_the_cute_gay_guys_who_make_fun_of_him_all_the_time._you_think_of_him_as_a_scoundrel , _but_a_lovable_one_ ( like_han_solo_or_lando_calrissian ) _and_surprisingly_he_and_joe_become_friends , _and_the_movie_is_so_sweet_and_heartwarming_watching_them_being_friendlier_and_such_and_such._rizzo_reveals_himself_to_actually_be_a_sad , _pitiable_man_who's_very_sick , _and_very_depressed_and_self-conscious , _hates_being_called_ '' ratso '' _and_wants_to_go_to_florida , _where_he_thinks_life_will_be_much_better_and_all_his_problems_resolved , _and_he'll_learn_to_be_a_cook_and_be_famous_there. < br_/ > < br_/ > it's_heartwarming_watching_joe_do_all_that_he_does_to_get_them_both_down_to_florida , _along_with_many_hilarious_moments_ ( like_ratso_trying_to_steal_food_at_that_hippie_party , _and_getting_caught_by_the_woman_who_says_ '' gee , _well , _you_know , _it's_free._you_don't_have_to_steal_it. '' _and_he_says_ '' well_if_it's_free_then_i_ain't_stealin'_it '' , _and_that_classic_moment_completely_unscripted_and_unscheduled_where_hoffman_almost_gets_hit_by_that_taxi , _and_screams_ '' hey , _i'm_walkin'_here ! _i'm_walkin'_here ! `` ) , _and_the_acting_is_so_believable , _you'd_never_believe_joe_buck_would_grow_up_to_be_the_distinguished_and_respected_actor_jon_voight , _and_ratso_rizzo_would_grow_up_to_be_the_legendary_and_beloved_dustin_hoffman._it's_not_the_first_time_they've_worked_together_in_lead_roles , _but_the_chemistry_is_so_thick_and_intense. < br_/ > < br_/ > then_there's_the_sad_part_that_i_believe_is_quite_an_overstatement_to_call_it_ '' depressing '' ._ratso_rizzo_is_falling_apart_all_throughout_the_movie , _can_barely_walk , _barely_eat , _coughs_a_lot , _is_sick , _and_reaches_a_head-point_on_the_bus_on_its_way_to_florida._he's_hurting_badly , _and_only_miles_away_from_miami , _he_finally_dies_on_the_bus._the_bus_driver_reassures_everyone_that_nothing's_wrong , _and_continues_on._sad , _but_not_in_the_kind_of_way_that'd_make_you_go_home_and_cry_and_mope_around_miserably_as_though_you've_just_lost_your_dog_of_13_years. < br_/ > < br_/ > all_in_all , _great_movie._and_the_soundtrack_pretty_much_consists_just_of_ '' everybody's_talking ' '' _played_all_throughout_the_movie_at_appropriate_times._an_odd_move , _but_a_great_one , _as_the_song_is_good_and_fits_in_with_the_tone_of_the_movie_perfectly._go_see_it , _it's_great , _go_buy_it",1
unimpressive_and_extremely_low_budget_sci-fi_without_any_charm_and_appeal._even_the_scenes_related_with_the_fall_of_the_asteroids_are_stolen_from_other_movies_with_the_same_plot._it's_just_a_bad_rip-off_of_ '' asteroid '' _ ( with_annabela_sciora ) _and_ '' deep_impact '' _ ( with_morgan_freeman ) ._mr._hopper_seems_to_be_anxious_to_slip_away_from_this_pointless_and_dull_sci-fi_entry. < br_/ > < br_/ > i_give_this_a_2_ ( two ) ._and_don't_say_i'm_not_a_good_guy !,0
"oddly_enough , _the_independent_film_channel_showed_this_film_a_week_after_it_showed_karate_bear_fighter -- even_though_the_bear_film_was_the_second_in_the_trilogy_and_this_film_was_the_first ! ! ! _what_were_they_thinking ? ! _while_all_three_of_these_films_are_supposedly_based_on_the_life_of_this_great_kyokushin_karate_master , _you_can't_help_but_think_that_they_must_have_embellished_the_story_quite_a_bit -- especially_in_this_first_film._sure , _the_guy_evidently_did_fight_and_kill_a_bull_and_later_a_bear_ ( in_fact , _he_fought_and_killed_many_bulls_during_his_career ) , _but_in_this_film_set_in_the_early_50s , _at_the_end_of_the_film , _the_hero_actually_fights_about_60_guys_and_kills_many_of_them_brutally._i_just_can't_imagine_that_this_really_occurred._so_i_did_some_checking_and_found_that_while_many_of_the_details_are_correct , _some_of_this_film_is_pure_bunk ! _yes , _he_did_kill_a_man_in_self-defense_and_yes_he_did_follow_the_widow_and_her_son_and_spent_a_year_working_for_them -- trying_to_get_them_to_forgive_him._but_the_end_of_the_film_is_great_to_watch_but_hogwash._seeing_one_of_his_opponents_get_a_staff_thrust_through_his_head_and_all_the_other_gory_details_couldn't_have_happened_or_else_the_japanese_government_would_have_locked_oyama_up_to_protect_society ! _the_film_is_entertaining_and_the_fighting_is_excellent._there_are_no_complaints_about_the_action_or_acting._the_only_minor_complaint_is_the_camera_work -- which_is_a_tad_sloppy_during_some_of_the_fight_scenes._despite_this_minor_complaint , _this_is_a_most_enjoyable_film._in_many_ways , _the_wandering_karate_master_theme_is_pretty_reminiscent_of_the_zatoichi_films -- which_are_also_lots_of_fun_to_watch_but_many_of_the_exploits_are_truly_impossible. < br_/ > < br_/ > fyi -- there_is_an_englished_dubbed_version_of_this_film_entitled_ '' champion_of_death '' _and_i_just_saw_it_as_well._it's_not_a_bad_dubbing_and_it_was_letter_boxed_ ( a_big_plus ) , _but_still_i_prefer_the_subtitled_version .",1
"according_to_john_ford's_lyrically_shot , _fictional_biopic_of_abraham_lincoln's_life_his_greatest_faults_may_have_been_an_obtuseness_with_woman_and_an_ability_to_dance_in_ '' the_worst_way . `` _ford's_camera_has_only_praising_views_to_reveal_of_mr._lincoln's_early_life._but_for_what_the_film_lacks_in_character_complexities_it_makes_up_for_in_beauty_and_depth_of_vision._uncharacteristically_beautiful_compositions_of_early_film , _what_could_have_been_a_series_of_gorgeous_still_frames , _ford_has_a_unique_eye_for_telling_a_story._the_film_sings_of_the_life_of_a_hopeful_young_man._henry_fonda_plays_the_contemplative_and_spontaneously_clever_lincoln_to_a_tee , _one_of_his_best_roles. < br_/ > < br_/ > the_film_concerns_two_young_men , _brothers , _on_trial_for_a_murder_that_both_claim_to_have_committed._in_classic_angry_mob_style , _the_town_decides_to_take_justice_into_their_own_hands_and_lynch_the_pair_of_them , _until_honest_abe_steps_into_the_fray._he_charms_them_with_his_humor , _telling_them_not_to_rob_him_of_his_first_big_case , _and_that_they_are_as_good_as_lynched_with_him_as_the_boys_lawyer._what_follows_seems_to_become_the_outline_for_all_courtroom-_murder-dramas_thereafter , _as_abe_cunningly_interrogates_witnesses_to_the_delight_and_humor_of_the_judge , _jury_and_town_before_he_stumbles_upon_the_missing_links. < br_/ > < br_/ > the_film_plays_out_like_many_john_ford_movies_do : _a_tablespoon_of_americana , _a_dash_of_moderate_predictability , _a_hint_of_sarcasm_that_you_aren't_sure_if_you_put_in_the_recipe_or_if_ford_did_it_himself._despite_the_overtly_'hollywood'_feel_of_the_film , _and_overly_patriotic_banter_alluding_to_lincoln's_future_presidency , _the_film_is_entirely_enjoyable_and_enjoyably_well_constructed , _if_you_can_take_your_drama_with_a_grain_of_salt .",1
"this_is_an_incredible_piece_of_drama_and_powerful_which_hits_you._i_found_the_film_was_great_and_getting_to_grips_with_the_two_main_characters_disability , _this_was_represented_in_a_great_performance_by_both_two_michael_and_rory._whether_the_story_is_based_around_a_true_story_i_feel_the_story_was_trying_to_giving_the_audience_a_message_that_as_a_whole_the_general_public_should_respect_and_feel_for_the_needs_of_disabled_people_and_that_they_should_be_given_the_same_chance_as_any_other_human._on_the_whole_this_film_reach_into_my_soul_and_i_too_felt_touched_by_the_actors_and_the_director_sending_out_there_creativity._the_whole_picture_is_that_some_actors_take_it_beyond_their_character_the_play_and_only_show_part_of_the_character_that_is_believable_to_the_audience , _but_i_feel_that_theses_two_certainly_made_great_use_as_their_gifted_talent_to_portray_a_masterpiece_piece_of_drama._certainly_one_not_to_be_missed !",1
i_thank_god_i_didn't_go_to_cinema_for_this_film._i_would_be_very_sorry_for_the_money_i_gave._i_saw_it_on_tv_and_i_couldn't_beleive_my_eyes._i_wonder_if_any_film_could_be_worse_than_this_one._they_spent_millions_of_dollars_to_this_film_for_nothing._awful_acting_and_awful_scenario._i_think_the_other_people_who_wrote_comments_are_the_man_working_from_that_film_company_ ; ) _it's_very_big_fiasco ! _in_year_2000_can_they_still_laugh_at_this_kind_of_film ? _embarassing ...,0
